tanggal,PM2.5,PM10,SO2,NO2,CO,O3,Status_Kualitas_Udara
2013-03-01,5.083333333333333,18.958333333333332,16.0,15.333333333333334,387.5,77.79166666666667,Normal
2013-03-02,33.333333333333336,39.833333333333336,37.104166666666664,60.3125,954.1666666666666,29.083333333333332,Normal
2013-03-03,57.541666666666664,82.66666666666667,30.416666666666668,58.791666666666664,1254.0,31.333333333333332,Tidak Sehat
2013-03-04,20.791666666666668,36.166666666666664,21.333333333333332,30.25,583.3333333333334,66.45833333333333,Normal
2013-03-05,106.95833333333333,125.16666666666667,38.25,74.625,1641.3333333333333,88.75,Tidak Sehat
2013-03-06,201.45833333333334,234.52083333333334,42.0,105.9375,2622.7708333333335,68.20833333333333,Tidak Sehat
2013-03-07,189.33333333333334,220.29166666666666,42.0,107.04166666666667,2533.2916666666665,41.0,Tidak Sehat
2013-03-08,164.125,214.5,41.208333333333336,86.00114166666667,1987.3541666666667,82.20833333333333,Tidak Sehat
2013-03-09,58.25,159.20833333333334,21.541666666666668,32.375,937.4166666666666,102.25,Tidak Sehat
2013-03-10,30.25,50.125,20.083333333333332,34.291666666666664,600.0,97.29166666666667,Normal
2013-03-11,123.95833333333333,163.79166666666666,39.0,84.79166666666667,1716.4166666666667,88.58333333333333,Tidak Sehat
2013-03-12,137.83333333333334,143.54166666666666,34.541666666666664,80.91666666666667,1814.3333333333333,35.875,Tidak Sehat
2013-03-13,13.25,17.666666666666668,12.916666666666666,25.0,437.5,85.08333333333333,Normal
2013-03-14,109.0,120.83333333333333,36.708333333333336,74.625,1491.4166666666667,81.125,Tidak Sehat
2013-03-15,175.25,197.20833333333334,41.916666666666664,85.95833333333333,1866.4166666666667,58.291666666666664,Tidak Sehat
2013-03-16,203.04166666666666,234.97916666666666,40.916666666666664,91.66666666666667,2303.9583333333335,92.16666666666667,Tidak Sehat
2013-03-17,215.29166666666666,235.58333333333334,42.0,95.33333333333333,2349.7916666666665,97.16666666666667,Tidak Sehat
2013-03-18,33.375,68.29166666666667,9.125,21.791666666666668,489.5833333333333,80.41666666666667,Normal
2013-03-19,36.291666666666664,28.833333333333332,5.0,28.166666666666668,620.8333333333334,37.458333333333336,Normal
2013-03-20,32.375,32.166666666666664,7.583333333333333,28.166666666666668,675.0,57.541666666666664,Normal
2013-03-21,123.5,142.16666666666666,18.583333333333332,63.291666666666664,1374.7916666666667,27.875,Tidak Sehat
2013-03-22,67.79166666666667,112.41666666666667,14.458333333333334,44.0,954.1666666666666,55.208333333333336,Tidak Sehat
2013-03-23,48.416666666666664,78.70833333333333,16.75,42.625,1091.5833333333333,37.625,Tidak Sehat
2013-03-24,18.208333333333332,33.958333333333336,5.375,24.041666666666668,525.0,62.72654166666666,Normal
2013-03-25,97.70833333333333,128.70833333333334,27.5,67.95833333333333,1453.7083333333333,31.900491666666667,Tidak Sehat
2013-03-26,182.20833333333334,224.72916666666666,33.0,91.79166666666667,2001.875,23.529533333333333,Tidak Sehat
2013-03-27,108.29166666666667,134.14583333333334,16.583333333333332,45.166666666666664,1270.7083333333333,49.28129166666667,Tidak Sehat
2013-03-28,13.333333333333334,29.708333333333332,3.3333333333333335,27.666666666666668,566.6666666666666,64.29166666666667,Normal
2013-03-29,54.25,84.04166666666667,15.125,48.0,1212.4166666666667,42.75521666666666,Tidak Sehat
2013-03-30,82.20833333333333,112.54166666666667,36.416666666666664,52.75,1799.7083333333333,47.458333333333336,Tidak Sehat
2013-03-31,149.625,172.02083333333334,16.166666666666668,54.458333333333336,1345.5833333333333,14.5,Tidak Sehat
2013-04-01,91.41666666666667,123.41666666666667,16.761633333333332,35.53395,1212.375,56.968516666666666,Tidak Sehat
2013-04-02,74.20833333333333,103.66666666666667,24.166666666666668,46.875,1014.5416666666666,76.70743333333333,Tidak Sehat
2013-04-03,126.91666666666667,197.08333333333334,33.5,62.583333333333336,1420.4791666666667,71.72916666666667,Tidak Sehat
2013-04-04,55.583333333333336,80.54166666666667,27.75,61.791666666666664,1670.5416666666667,33.166666666666664,Tidak Sehat
2013-04-05,61.541666666666664,51.833333333333336,8.708333333333334,36.416666666666664,1333.0,42.5,Tidak Sehat
2013-04-06,12.458333333333334,21.333333333333332,6.625,19.666666666666668,491.6666666666667,71.375,Normal
2013-04-07,68.45833333333333,104.25,28.208333333333332,51.083333333333336,1195.8333333333333,48.35003333333333,Tidak Sehat
2013-04-08,21.875,122.91666666666667,5.583333333333333,15.333333333333334,358.3333333333333,80.29166666666667,Tidak Sehat
2013-04-09,11.666666666666666,31.916666666666668,3.4583333333333335,12.875,320.8333333333333,90.83333333333333,Normal
2013-04-10,14.541666666666666,26.375,8.125,27.708333333333332,479.1666666666667,63.85380833333334,Normal
2013-04-11,16.083333333333332,31.958333333333332,7.857033333333334,32.421933333333335,433.3333333333333,61.95735,Normal
2013-04-12,46.916666666666664,88.0,13.208333333333334,52.583333333333336,689.5833333333334,49.29564166666666,Tidak Sehat
2013-04-13,39.041666666666664,85.91666666666667,10.333333333333334,31.541666666666668,575.0,60.208333333333336,Tidak Sehat
2013-04-14,27.375,73.91666666666667,10.291666666666666,17.458333333333332,395.8333333333333,88.66666666666667,Normal
2013-04-15,76.625,158.875,29.541666666666668,52.5,1120.75,65.60416666666667,Tidak Sehat
2013-04-16,49.291666666666664,123.60416666666667,24.958333333333332,36.208333333333336,829.1666666666666,73.0,Tidak Sehat
2013-04-17,50.458333333333336,77.70833333333333,16.125,31.541666666666668,633.3333333333334,86.95833333333333,Tidak Sehat
2013-04-18,6.875,18.916666666666668,3.3452333333333333,9.0769875,225.0,85.91200833333333,Normal
2013-04-19,43.041666666666664,66.25,14.520833333333334,31.270833333333332,612.5,61.833333333333336,Normal
2013-04-20,79.625,83.125,10.291666666666666,39.083333333333336,700.0,60.166666666666664,Tidak Sehat
2013-04-21,115.45833333333333,132.08333333333334,19.5,48.343295833333336,883.3333333333334,68.15856666666666,Tidak Sehat
2013-04-22,158.83333333333334,167.0,30.083333333333332,56.625,1154.0833333333333,37.583333333333336,Tidak Sehat
2013-04-23,182.70833333333334,167.375,14.416666666666666,55.041666666666664,1072.875,27.645833333333332,Tidak Sehat
2013-04-24,87.375,117.16666666666667,5.083333333333333,35.666666666666664,683.2916666666666,51.333333333333336,Tidak Sehat
2013-04-25,11.166666666666666,37.833333333333336,3.7083333333333335,23.708333333333332,329.1666666666667,72.91666666666667,Normal
2013-04-26,50.416666666666664,85.54166666666667,17.833333333333332,52.541666666666664,579.1666666666666,71.45833333333333,Tidak Sehat
2013-04-27,64.58333333333333,103.95833333333333,26.458333333333332,42.375,804.1666666666666,97.04166666666667,Tidak Sehat
